location;date;cases;deaths;tests;vaccinations
Albania;06.03.2021;777.0;21.0;;
Andorra;02.03.2020;1.0;;;
Andorra;03.03.2020;0.0;;;
Andorra;04.03.2020;0.0;;;
Andorra;05.03.2020;0.0;;;
Andorra;06.03.2020;0.0;;;
Andorra;07.03.2020;0.0;;;
Andorra;08.03.2020;0.0;;;
Andorra;09.03.2020;0.0;;;
Andorra;10.03.2020;0.0;;;
Andorra;11.03.2020;0.0;;;
Andorra;12.03.2020;0.0;;;
Andorra;13.03.2020;0.0;;;
Andorra;14.03.2020;0.0;;;
Andorra;15.03.2020;0.0;;;
Andorra;16.03.2020;1.0;;;
Andorra;17.03.2020;37.0;;;
Andorra;18.03.2020;0.0;;;
Andorra;19.03.2020;14.0;;;
Andorra;20.03.2020;22.0;;;
Andorra;21.03.2020;13.0;;;
Andorra;22.03.2020;25.0;1.0;;
Andorra;23.03.2020;20.0;0.0;;
Andorra;24.03.2020;31.0;0.0;;
Andorra;25.03.2020;24.0;0.0;;
Andorra;26.03.2020;36.0;2.0;;
Andorra;27.03.2020;43.0;0.0;;
Andorra;28.03.2020;41.0;0.0;;
Andorra;29.03.2020;26.0;3.0;;
Andorra;30.03.2020;36.0;2.0;;
Andorra;31.03.2020;6.0;4.0;;
Andorra;01.04.2020;14.0;2.0;;
Andorra;02.04.2020;38.0;1.0;;
Andorra;03.04.2020;11.0;1.0;;
Andorra;04.04.2020;27.0;1.0;;
Andorra;05.04.2020;35.0;1.0;;
Andorra;06.04.2020;24.0;3.0;;
Andorra;07.04.2020;20.0;1.0;;
Andorra;08.04.2020;19.0;1.0;;
Andorra;09.04.2020;19.0;2.0;;
Andorra;10.04.2020;18.0;1.0;;
Andorra;11.04.2020;0.0;0.0;;
Andorra;12.04.2020;37.0;3.0;;
Andorra;13.04.2020;8.0;0.0;;
Andorra;14.04.2020;13.0;2.0;;
Andorra;15.04.2020;14.0;2.0;;
Andorra;16.04.2020;0.0;0.0;;
Andorra;17.04.2020;23.0;2.0;;
Andorra;18.04.2020;8.0;0.0;;
Andorra;19.04.2020;9.0;1.0;;
Andorra;20.04.2020;4.0;1.0;;
Andorra;21.04.2020;0.0;0.0;;
Andorra;22.04.2020;6.0;0.0;;
Andorra;23.04.2020;0.0;0.0;;
Andorra;24.04.2020;8.0;3.0;;
Andorra;25.04.2020;7.0;0.0;;
Andorra;26.04.2020;0.0;0.0;;
Andorra;27.04.2020;5.0;0.0;;
Andorra;28.04.2020;0.0;1.0;;
Andorra;29.04.2020;0.0;1.0;;
Andorra;30.04.2020;2.0;0.0;;
Andorra;01.05.2020;0.0;1.0;;
Andorra;02.05.2020;2.0;1.0;;
Andorra;03.05.2020;1.0;1.0;;
Andorra;04.05.2020;2.0;0.0;;
Andorra;05.05.2020;1.0;1.0;;
Andorra;06.05.2020;0.0;0.0;;
Andorra;07.05.2020;1.0;1.0;;
Andorra;08.05.2020;0.0;0.0;;
Andorra;09.05.2020;2.0;1.0;;
Andorra;10.05.2020;1.0;0.0;;
Andorra;11.05.2020;0.0;0.0;;
Andorra;12.05.2020;3.0;0.0;;
Andorra;13.05.2020;2.0;1.0;;
Andorra;14.05.2020;1.0;0.0;;
Andorra;15.05.2020;0.0;0.0;;
Andorra;16.05.2020;0.0;2.0;;
Andorra;17.05.2020;0.0;0.0;;
Andorra;18.05.2020;0.0;0.0;;
Andorra;19.05.2020;0.0;0.0;;
Andorra;20.05.2020;1.0;0.0;;
Andorra;21.05.2020;0.0;0.0;;
Andorra;22.05.2020;0.0;0.0;;
Andorra;23.05.2020;0.0;0.0;;
Andorra;24.05.2020;0.0;0.0;;
Andorra;25.05.2020;1.0;0.0;;
Andorra;26.05.2020;0.0;0.0;;
Andorra;27.05.2020;0.0;0.0;;
Andorra;28.05.2020;0.0;0.0;;
Andorra;29.05.2020;1.0;0.0;;
Andorra;30.05.2020;0.0;0.0;;
Andorra;31.05.2020;0.0;0.0;;
Andorra;01.06.2020;1.0;0.0;;
Andorra;02.06.2020;79.0;0.0;;
Andorra;03.06.2020;7.0;0.0;;
